"price","bedrooms","bathrooms","addr"
"5,255","2","2","505 W 54th St"
"12,750","3","2","435 W 31st St"
"5,500","2","2","175 E 96th St"
"5,828","2","2","515 W 38th St"
"5,690","2","2","151 E 31st St #155"
"5,755","2","2","155 E 29th St"
"10,800","3","2","554 W 54th St"
"10,902","3","3","189 W 89th St"
"5,295","2","2","43 W 16th St"
"4,560","2","2","389 S End Ave"
"8,775","3","2","420 E 54th St"
"7,950","2","2","60 Riverside Blvd"
"3,450","1","1","150 E 34th St"
"2,595","2","1","512 W 136th St"
"9,480","3","2","15 Cliff St"
"4,089","2","2","101 W 90th St"
"4,250","2","2","10 Rutgers St"
"16,795","4","3","200 E 82nd St"
"5,600","3","2","70 W 95th St"
"39,000","4","4","151 E 80th St"
"9,874","2","2","55 W 26th St"
"10,140","4","4","752 W End Ave"
"6,000","2","2","270 Park Ave S"
"        Contact for price/mo     ","3","2","1556 York Ave"
"8,657","2","2","160 W 24th St"
"6,000","4","2","636 E 11th St"
"4,900","2","1","455 Park Ave S"
"6,000","2","1","127 4th Ave"
"6,943","2","2","525 W 52nd St"
"        Contact for price/mo     ","3","2","1561 York Ave"
"2,800","1","1","425 E 74th St"
"5,700","3","2","153 E 32nd St"
"6,290","1","1","620 W 42nd St"
"7,250","2","2","309 5th Ave"
"7,325","2","2","155 W 68th St"
"11,970","2","1","18 W 48th St"
"6,290","2","2","650 W 42nd St"
"14,070","3","1","3 Mitchell Pl"
"7,470","1","1","229 Chrystie St"
"11,070","2","1","70 W 45th St"
"6,711","3","2","888 Main St"
"3,150","1","1","520 W 48th St"
"2,900","1","1","265 Lafayette St"
"3,300","2","1","158 Stanton St"
"11,070","3","1","1600 Broadway"
"3,095","1","1","95 Christopher St"
"3,000","1","1","1435 York Ave"
"14,500","3","3","20 W 64th St"
"2,800","1","1","223 Sullivan St"
"19,332","2","2","10 Hanover Sq"
"18,000","2","2","80 Columbus Cir #68E"
"20,203","3","2","401 E 34th St"
"4,195","3","1","129 Orchard St"
"2,450","1","1","42 Bank St #43"
"12,495","5","3","80 Madison Ave"
"10,000","4","4","308 W 48th St #2"
"7,500","1","1","88 Lexington Ave #1101"
"2,150","1","1","340 Haven Ave #5A"
"4,000","1","1","400 E 70th St #1906"
"3,550","1","1","333 Rector Pl #301"
"6,000","2","2","343 E 74th St #16D"
"16,500","3","3","240 Riverside Blvd #21B"
"3,380","1","1","301 E 61st St #5C"
"2,500","1","1","354 E 78th St #4"
"5,600","1","1","37 W 21st St #1202"
"3,790","1","1","223 W 10th St #4B"
"3,129","1","1","67 Wall St #17J"
"7,095","4","2","20 W 84th St #2"
"2,450","1","1","319 W 76th St #5A"
"8,995","3","2","155 Riverside Dr #6A"
"4,250","1","1","1 Bank St #5K"
"3,650","2","2","2270 Frederick Douglass Blvd #5C"
"6,000","1","1","50 West St #29C"
"2,950","1","1","470 W 24th St #15F"
"5,399","1","1","1 W End Ave #17C"
"4,500","4","2","507 W 134th St #1"
"2,950","1","1","5 Tudor City Pl #2132"
"28,500","4","4","262 W 12th St"
"5,095","2","2","230 W 55th St #21B"
"8,950","2","2","10 Sheridan Sq #10CD"
"4,500","2","2","40 W 116th St #B904"
"7,200","4","2","360 E 57th St #9A"
"30,000","3","3","140 W 12th St #200"
"14,308","2","2","30 Park Pl #56D"
"4,100","3","2","230 E 7th St #2AA"
"2,550","3","1","2504 Adam Clayton Powell Jr Blvd #6A"
"3,995","1","1","31 Union Sq W #7B"
"2,200","1","1","72 E 7th St #3C"
"17,000","2","2","20 W 53rd St #21A"
"3,950","3","1","115 Lexington Ave #5A"
"2,950","2","1","343 E 51st St #2E"
"5,600","5","2","285 Saint Nicholas Ave #42"
"2,425","1","1","440 10th Ave #1RS"
"2,329","1","1","516 E 88th St #5C"
"3,900","3","2","188 Claremont Ave #11"
"2,150","1","1","243 E 39th St #5B"
"2,750","3","1","305 E 110th St #5"
"2,750","1","1","694 Madison Ave #4R"
"3,295","2","1","130 Water St #12G"
"2,500","2","1","1584 1st Ave #2N"
"5,600","5","2","285 Saint Nicholas Ave #54"
"2,250","1","1","315 E 84th St #26"
"17,000","5","4","322 W 71st St"
"6,500","5","2","964 Amsterdam Ave #2D"
"3,095","1","1","620 W 143rd St #8E"
"4,670","1","1","505 W 29th St #26387"
"2,075","1","1","259 E 10th St #16"
"2,295","1","1","35 Bedford St #3"
"4,033","1","1","67 Wall St #9K"
"4,200","2","1","175 W 93rd St #4I"
"3,395","1","1","20 Beaver St #2F"
"5,000","2","1","237 E 34th St #2101"
"1,850","1","1","304 E 41st St #608A"
"5,300","3","1","334 E 55th St #15"
"3,250","1","1","117 W 69th St #3-B"
"3,100","1","1","43 W 85th St #1B"
"2,929","2","1","406 W 39th St #2"
"15,000","2","2","63 Greene St #5A"
"1,775","1","1","1155 3rd Ave #11"
"2,700","1","1","2109 Broadway #354"
"2,500","1","1","245 E 39th St #2D"
"2,250","1","1","239 E 77th St #1D"
"3,220","1","1","377 Rector Pl #2J"
"2,450","1","1","E 10th St and Loisada Ave"
"3,095","1","1","400 W 56th St #4F"
"7,820","1","2","160 Central Park S #720"
"2,750","1","1","45 Tudor City Pl #1715"
"3,250","1","1","23 E 10th St #1G"
"2,750","1","1","620 W 143rd St #1B"
"9,600","2","2","33 W 56th St #5B"
"3,500","1","1","150 E 61st St #2A"
"15,500","2","2","77 White St #2"
"4,650","3","1","226 E 53rd St #4C"
"17,000","2","2","50 Gramercy Park N #12B"
"7,850","2","2","280 Park Ave S #23J"
"3,600","1","1","82 Christopher St #3A"
"6,200","1","1","54 W 9th St #4"
"3,195","2","2","E 102nd St and 1st Ave"
"3,395","1","1","900 W End Ave #4EE"
"3,250","1","1","3 Sheridan Sq #4M"
"2,370","2","1","622 E 11th St #17"
"2,100","2","1","215 W 145th St #12"
"3,095","1","1","E 80th St and York Ave"
"5,950","1","1","121 W 19th St #5D"
"2,350","1","1","5 Tudor City Pl #2003"
"2,425","1","1","220 E 74th St #1-B"
"3,300","1","1","530 E 76th St #12E"
"3,695","2","1","244 W 72nd St #1E"
"3,995","1","1","3 W 36th St #20A"
"1,800","1","1","304 E 89th St #A1"
"3,350","2","1","309 E 5th St #6"
"3,100","1","1","620 W 143rd St #5A"
"7,250","2","2","220 E 72nd St #25F"
"2,125","1","1","1570 2nd Ave #2E"
"2,625","1","1","125 Elizabeth St #1A"
"2,100","1","1","149 W 95th St #1A"
"3,060","1","1","444 W 35th St #7C"
"3,195","1","1","22 W 77th St #26"
"5,550","1","1","55 W 25th St #32C"
"3,750","1","1","219 E 69th St #8H"
"2,400","1","1","148 Sullivan St #4"
"3,900","2","1","275 E 7th St #1"
"2,975","1","1","30 E End Ave #3E"
"7,000","1","1","160 Central Park S #460"
"3,495","2","1","117 E 7th St #1B"
"3,500","1","1","349 E 52nd St #4F"
"2,950","3","2","529 W 151st St #4"
"1,650","1","1","609 W 186th St #52"
"11,300","1","1","160 Central Park S #2911"
"2,315","1","1","128 Saint Marks Pl #2B"
"3,950","2","1","349 E 52nd St #4R"
"3,300","1","1","120 Greenwich St #8D"
"3,025","2","1","124 Mott St #27A"
"2,950","1","1","711 Madison Ave #10"
"3,895","1","1","1 Irving Pl #V7E"
"2,195","1","1","23 W 129th St #2"
"3,350","1","1","445 5th Ave #30G"
"7,450","2","2","40 E 78th St #3C"
"2,750","1","1","5 Tudor City Pl #911"
"2,300","1","1","35 E 65th St #4C"
"3,960","1","1","50 Murray St #919"
"2,683","2","1","815 W 180th St #11"
"4,400","3","2","500 Cathedral Pkwy #6C"
"2,200","1","1","45 Tiemann Pl #2F"
"4,570","1","1","50 Murray St #413"
"4,850","1","1","53 Park Pl #2J"
"7,600","1","2","50 Murray St #306"
"6,600","2","1","50 Murray St #1411"
"4,000","1","1","53 Park Pl #5H"
"3,420","1","1","53 Park Pl #8H"
"9,500","1","2","160 Central Park S #1810"
"3,250","2","1","484 Lenox Ave"
"3,150","1","1","136 East Broadway #12A"
"3,615","3","2","420 E 80th St"
"7,900","2","2","50 Murray St #412"
"4,765","1","1","500 W 56th St"
"5,400","4","3","41 W 86th St"
"9,500","2","2","205 E 59th St #19B"
"6,500","1","1","234 E 46th St"
"3,234","3","2","15 E 11th St"
"7,125","3","2","200 E 87th St"
