"price","bedrooms","bathrooms","addr"
"7,850","3","2","222 E 34th St"
"3,230","1","1","42 Bank St #65"
"8,495","3","3","145 W 67th St"
"7,050","2","2","354 E 91st St"
"4,895","2","2","330 E 39th St"
"21,868","2","2","95 Wall St"
"7,975","2","2","808 Columbus Ave"
"6,205","2","2","282 11th Ave"
"11,775","2","2","120 W 21st St"
"13,000","1","1","160 Central Park S #404"
"10,580","3","3","400 W 63rd St"
"5,925","4","3","303 E 83rd St"
"3,450","1","1","14 E 2nd St #PARLOR"
"2,700","2","1","112 Mulberry St #14"
"5,363","1","1","225 E 63rd St"
"2,925","2","1","1392 3rd Ave #1B"
"1,750","1","1","5025 Broadway #2E"
"8,995","2","3","585 W End Ave #5A"
"2,100","1","1","339 E 58th St #4H"
"2,700","2","1","300 E 82nd St #4"
"3,950","1","1","57 Charles St #3R"
"5,000","2","1","269 W 4th St #3"
"3,450","2","1","346 Lexington Ave #4F"
"5,500","3","1","110 W 26th St #6R"
"2,000","1","1","526 E 6th St #8"
"8,495","2","2","14 Murray St #3"
"13,900","3","3","920 Park Ave #12C"
"8,995","2","1","79-81 White St #6W"
"5,795","4","1","76 W 82nd St #3A"
"3,395","1","1","949 W End Ave #2EE"
"7,250","2","1","529 W 42nd St #1G"
"2,600","1","1","574 W End Ave #12B2"
"3,804","2","1","175 W 90th St #10B"
"3,000","1","1","302 E 12th St #8"
"2,075","1","1","139 E 110th St #42"
"2,300","1","1","63 W 69th St #4A"
"2,185","1","1","310 2nd Ave #2"
"2,395","2","1","23 E 109th St #3E"
"3,150","1","1","162 W 13th St #34"
"3,200","1","1","69 5th Ave #3D"
"1,950","1","1","536 E 82nd St #5A"
"4,925","1","1","505 W 29th St #26419"
"6,110","2","2","505 W 29th St #26106"
"5,495","3","2","154 E 28th St #E"
"5,115","1","1","400 Chambers St #25418"
"3,795","2","1","151 E 33rd St #2R"
"2,500","1","1","114 W 76th St #3F"
"3,395","2","1","165 W 83rd St #5"
"4,200","2","1","108 1st Ave #4"
"3,965","1","1","260 W 54th St #36F"
"6,000","3","1","81 Sullivan St #10"
"3,425","2","1","525 W 49th St #2E"
"2,600","1","4","225 Central Park W #613"
"7,500","2","2","625 W 57th St #529"
"2,250","1","1","91 Clinton St #2"
"4,200","2","1","115 E 37th St #4"
"2,788","1","1","440 E 85th St"
"7,534","2","2","535 W 43rd St"
"1,975","1","1","171 E 77th St #4A"
"4,500","3","2","204 W 108th St #67"
"4,000","3","1","127 W 106th St #5B"
"2,800","1","1","170 W 74th St #712"
"6,250","5","2","8 W 108th St #41-10"
"3,150","3","1","3139 Broadway #18"
"3,200","1","1","200 E 87th St #15A"
"4,500","2","1","50 E 86th St #3A"
"75,000","2","2","795 5th Ave #21"
"3,500","3","2","184 Claremont Ave #100"
"2,875","3","2","2085 Lexington Ave #1EE"
"3,495","1","1","255 W 14th St"
"7,500","6","2","106 W 105th St #4"
"6,500","2","2","845 United Nations Plz #37E"
"4,938","1","1","100 W 31st St #31K"
"9,000","2","2","450 W 17th St #1007"
"3,400","4","2","1781 Riverside Dr #6I"
"6,000","2","1","100 W 31st St #25B"
"4,384","1","1","100 W 31st St #24H"
"3,110","3","1","1689 1st Ave #5"
"1,200","4","2","5th Ave and Washington Mews"
"2,500","2","1","528 E 83rd St #3A"
"15,250","3","3","50 West St #11C"
"27,000","3","3","1 Central Park W #27D"
"3,863","1","1","67 Wall St #7M"
"4,071","1","1","67 Wall St #17N"
"2,200","1","1","157 E 32nd St #7C"
"6,800","2","2","372 Central Park W #7D"
"7,695","2","2","30 W 63rd St #21C"
"4,560","2","2","355 S End Ave #6N"
"6,424","2","2","225 E 39th St #8D"
"3,600","1","1","21 W 86th St #9H"
"4,750","3","2","279 E 44th St #3J"
"3,150","1","1","63 Wall St #1816"
"3,163","1","1","63 Wall St #910"
"2,895","2","1","308 E 78th St #26"
"5,888","2","2","315 W 33rd St #35I"
"4,440","2","1","120 W 97th St #5D"
"5,844","3","2","160 W 97th St #9C"
"8,600","2","2","75 Wall St #L6"
"5,689","2","2","315 W 33rd St #22K"
"7,996","3","1","400 E 58th St #PHC"
"3,450","1","1","240 E 47th St #6E"
"3,250","1","1","329 E 13th St #1B"
"22,000","2","2","157 W 57th St #43B"
"15,900","3","2","60 W 23rd St #21C"
"4,438","2","1","63 Wall St #1104"
"3,373","1","1","210 W 70th St #1506"
"9,250","2","2","1 W End Ave #17F"
"4,850","2","2","401 W End Ave #2B"
"3,700","1","1","308 W 30th St #10C"
"3,365","1","1","355 S End Ave #7B"
"4,000","3","1","1509 Lexington Ave #2-B"
"3,295","2","1","122 Orchard St #15R"
"3,275","1","1","375 S End Ave #3K"
"5,810","1","1","100 W 31st St #45J"
"10,350","3","3","200 N End Ave #8A"
"4,750","1","1","115 W 85th St #8"
"19,500","3","3","330 E 38th St #46MNO"
"19,500","4","4","50 West St #40C"
"3,595","1","3","100 W 31st St #23E"
"5,179","3","2","67 Wall St #11H"
"6,695","2","2","38 Delancey St #4B"
"5,500","1","1","385 1st Ave #8D"
"4,000","4","2","140 W 111th St #5"
"4,333","1","1","100 W 31st St #16G"
"4,804","2","2","63 Wall St #1813"
"3,076","1","5","63 Wall St #3602"
"23,000","4","4","56 Leonard St #14BE"
"3,933","1","1","315 W 33rd St #22H"
"5,100","3","2","240 E 28th St #G"
"3,988","1","1","63 Wall St #1207"
"8,400","1","1","45 E 22nd St #16B"
"16,950","2","2","45 E 22nd St #28A"
"2,596","1","5","63 Wall St #3302"
"7,787","3","2","20 Park Ave #3CD"
"30,000","3","3","56 Leonard St #8AEA"
"13,900","3","2","15 W 55th St #6A"
"3,800","2","1","35 E 7th St #2"
"18,250","3","2","430 W 24th St #PH"
"6,250","2","2","20 Pine St #1718"
"3,900","1","9","55 W 25th St #22L"
"7,250","2","2","30 W 63rd St #5M"
"4,250","1","1","160 W 66th St #29A"
"3,937","1","1","364 W 18th St #5L"
"3,495","2","1","440 W 45th St #3E"
"3,750","2","1","200 Bowery #7E"
"5,950","2","1","279 E 44th St #7A"
"5,995","2","1","809 9th Ave #6AA"
"6,995","2","2","30 W 63rd St #9K"
"9,500","6","2","110 Greenwich St #12BB"
"5,000","3","1","405 E 61st St #5CC"
"5,775","2","2","260 W 26th St #11-K"
"10,000","3","3","325 5th Ave #43D"
"2,500","2","1","603 W 140th St #58"
"4,900","2","2","404 E 76th St #7A"
"4,295","1","1","260 W 26th St #5Q"
"15,000","3","3","500 W 53rd St #7B"
"4,150","1","1","460 W 42nd St #51E"
"4,060","1","1","60 W 66th St #36C"
"4,295","1","1","301 Elizabeth St #1112"
"3,250","1","1","410 W 24th St #9F"
"4,100","1","1","350 W 42nd St #33E"
"8,000","2","2","311 W 50th St #1D"
"3,000","2","2","360 W 119th St #2B"
"5,500","1","1","101 Leonard St #9C"
"3,025","1","1","55 W End Ave #R6B"
"2,795","3","1","4740 Broadway #H"
"2,495","2","1","507 W 147th St #J"
"6,300","2","2","1 Columbus Pl #N40E"
"2,550","2","1","528 E 83rd St #34"
"4,300","2","1","62 Avenue B #5P"
"3,295","1","2","2 Gold St #4C"
"5,695","2","1","108 W 15th St #2K"
"5,800","1","1","50 West St #27C"
"2,600","4","1","542 W 147th St #H"
"8,495","3","2","1385 York Ave #21-B"
"10,700","2","2","101 Warren St #2740"
"3,483","2","1","38-40 E 58th St #4C"
"2,550","1","1","31 W 88th St #4R"
"7,900","4","2","840 W End Ave #4C"
"2,949","2","1","131 W 110th St #2A"
"6,295","3","2","45 Wall St #2122"
"3,500","1","1","220 Riverside Blvd #5E"
"4,915","2","2","55 W End Ave #S5M"
"1,840","1","2","210 E 75th St #2G"
"1,899","1","2","259 W 121st St #2A"
"3,495","1","1","2 Gold St #3005"
"2,250","1","1","246 W 132nd St #2"
"28,000","4","4","131 E 92nd St"
"2,395","2","1","615 Fort Washington Ave #6H"
"3,149","2","1","361 E 10th St #43B"
"3,500","1","1","104 Avenue B #2"
"7,200","2","2","200 E 61st St #26G"
"8,995","2","2","1 W End Ave #20J"
"3,995","1","1","62 Avenue B #6D"
"3,325","1","1","345 E 93rd St #16E"
"3,000","1","1","108 W 74th St #3"
"3,495","2","1","324 W 47th St #4B"
"17,500","4","3","315 Cpw #4E"
"3,600","2","1","240 E 78th St #I"
"5,500","5","2","E 102nd St and 1st Ave"
"2,246","1","1","54 W 106th St #1A"
"2,595","1","2","178 7th Ave #C1"
"3,800","2","1","308 W 18th St #1"
"3,500","2","2","280 Manhattan Ave #1B"
"4,446","1","1","10 Downing St #6D"
"2,200","1","1","247 Audubon Ave #47"
"4,500","1","1","401 E 80th St #6G"
"4,165","1","1","Financial District"
"2,500","1","1","179 Orchard St #5"
"2,354","1","3","212 W 91st St #402"
"3,729","1","3","101 W 15th St #111"
"4,400","1","1","130 Barrow St #318"
"3,250","1","1","675 W End Ave #3D"
"2,000","1","1","400 W 128th St #33A"
"5,400","3","1","62 Avenue B #5N"
"2,995","3","1","4640 Broadway #6"
"5,200","3","1","62 Avenue B #3H"
"2,350","1","1","453 W 48th St #A4"
"4,695","3","1","305 Riverside Dr #8C"
"4,750","1","1","40 Central Park S #17F"
"7,000","4","2","62 Avenue B #5C"
"7,950","3","2","147 W 22nd St #5S"
"2,500","1","3","141 Sullivan St #12"
"3,300","1","1","145 E 22nd St #5HH"
"1,875","1","3","42 W 88th St #1F"
"2,012","1","1","245 W 115th St #3"
"1,895","2","1","242 Bradhurst Ave #62"
"3,600","2","1","3117 Broadway #52"
"5,000","1","1","211 E 53rd St #PHF"
"4,500","1","2","415 E 37th St #29G"
"3,295","1","4","106 Central Park S #11EE"
"2,500","1","4","516 W 47th St #S2K"
"3,600","2","1","60 W 10th St #1D"
"4,650","3","1","126 Rivington St #3A"
"2,769","1","3","350 W 43rd St #34F"
"2,105","1","4","577 2nd Ave #2R"
"5,042","2","2","315 W 57th St #14H"
"27,995","3","3","219 Broadway #2"
"2,150","1","4","329 Pleasant Ave #3B"
"5,875","3","2","232 W 10th St #THFL"
"3,311","1","1","210 W 89th St #10L"
"2,000","1","4","48 E 132nd St #2F"
"4,200","1","1","325 Lexington Ave #22D"
"16,000","5","5","30 West St #4E"
"2,350","1","1","345 W End Ave #3A"
"12,000","3","3","50 Riverside Blvd #3A"
"6,995","2","2","70 Little West St #5K"
"4,475","2","1","127 W 82nd St #5D"
"4,908","2","2","400 W 113th St #E430"
"3,298","3","2","2067 7th Ave #5D"
"12,500","3","2","223 W 19th St #4"
"3,500","1","1","237 Sullivan St #1A"
"4,150","2","1","480 2nd Ave #6F"
"3,995","1","1","201 E 28th St #12P"
"2,495","1","1","533 E 5th St #13"
"2,999","3","1","1801 Adam Clayton Powell Jr Blvd #5A"
"2,998","3","2","117 W 141st St #46"
"3,750","2","1","92 Christopher St #4W"
"4,200","4","1","561 W 163rd St #1B"
"2,700","2","1","676 Riverside Dr #4B"
"14,950","3","3","247 W 87th St #26-B"
"2,550","1","3","67 E 2nd St #222"
"3,433","1","5","1065 2nd Ave #5K"
"6,999","2","1","58 W 58th St #18E"
"5,600","1","4","94 Reade St #2"
"6,500","2","2","123 Washington St #53D"
"4,800","2","1","140 7th Ave #2E"
"5,990","3","1","37 W 75th St #GR"
"3,500","3","2","503 W 149th St #4B"
"3,210","1","1","484 2nd Ave #11D"
"2,600","1","1","307 W 105th St #3R"
"2,970","1","5","2 Gold St #1202"
"2,600","2","1","401 E 91st St #3"
"850","3","1","174 W 137th St"
"1,995","1","1","612 W 144th St #A7"
"3,050","1","5","1 Astor Pl #4J"
"2,625","2","1","200 W 109th St #D7"
"3,375","1","1","150 W 58th St"
"4,760","1","1","21 W End Ave #3501"
"6,918","3","2","303 10th Ave #8A"
"5,500","2","2","635 W 42nd St #35J"
"4,140","1","1","21 W End Ave #3408"
"4,545","1","1","21 W End Ave #13"
"4,550","3","2","763 2nd Ave #7C"
"3,000","3","1","4646 Broadway #5"
"4,800","3","1","454 W 58th St #4E"
"4,150","3","1","363 W 51st St #3E"
"2,750","1","6","155 E 34th St #7U"
"6,350","2","2","400 W 113th St #E1029"
"3,650","4","2","4 S Pinehurst Ave #A"
"2,950","1","1","340 E 93rd St #10H"
"5,285","2","2","245 W 25th St #5F"
"3,900","1","1","145 W 58th St"
"2,395","1","6","416 Lafayette St #4D"
"4,220","1","1","21 W End Ave #4306"
"3,750","1","1","327 W 87th St #G"
"2,399","1","1","788 Amsterdam Ave #5A"
"3,390","1","1","400 W 113th St #W904"
"2,300","1","1","203 E 94th St #5A"
"3,400","2","1","104 E 98th St #4A"
"29,500","4","2","112 Washington Pl #TOWNHOUSE"
"2,595","1","1","115 W 71st St #1"
"1,625","1","1","610 W 145th St #1G"
"3,195","2","1","78-84 Rivington St #6B"
"2,995","2","1","86 E 3rd St #2BC"
"2,700","2","1","612 W 144th St #F8"
"4,100","2","1","162 Orchard St #2B"
"3,800","4","1","519 W 143rd St #41"
"6,500","1","1","45 Christopher St #12G"
"3,945","2","1","219 E 23rd St"
"2,495","1","1","225 E 89th St #C1"
"1,975","2","1","569 W 182nd St #44"
"3,400","1","1","330 E 38th St #7M"
"4,714","2","2","420 W 42nd St #38B"
"7,883","5","2","207 Bowery #6F"
"14,999","6","4","471 W 144th St"
"5,990","4","2","371 Amsterdam Ave #3"
"4,995","2","2","222 E 18th St #1F"
"3,200","1","1","330 E 38th St #37H"
"12,500","3","3","2 Columbus Ave #34A"
"2,700","2","1","839 Riverside Dr #4H"
"3,800","1","1","301 W 53rd St #17I"
"3,200","1","1","465 Columbus Ave #4-B"
"4,000","1","1","400 E 56th St #28O"
"4,500","1","1","330 E 38th St #32A"
"999","4","2","660 W 180th St #ROOM FOR RENT"
"2,600","1","1","161 W 72nd St #2B"
"2,250","2","1","404 E 117th St #4"
"2,250","1","1","114 W 74th St #4B"
"3,050","1","8","2000 Broadway #5C"
"4,695","1","7","2 Cooper Sq #5E"
"40,000","2","3","35 E 76th St"
"8,800","2","2","1 W End Ave #17K"
"9,000","2","2","450 W 17th St #2406"
"3,800","1","1","255 E 49th St #20A"
"3,700","1","1","200 Water St #2102"
"24,500","3","2","551 W 21st St #7A"
"2,300","2","1","295 Convent Ave #52S"
"2,600","1","9","50 W 34th St #5A2"
"5,295","1","1","280 Park Ave S #10C"
"2,450","1","1","273 W 73rd St #3A"
"18,500","2","2","20 W 53rd St #25A"
"2,700","1","1","103 W 80th St #4"
"4,000","3","1","210 Avenue B #2N"
"3,400","1","1","2 Gold St #405"
"3,975","2","1","182 E 95th St #26H"
"4,995","3","2","321 W 47th St #1A"
"2,200","1","1","1669 York Ave #B1"
"5,575","4","2","321 W 47th St #5A"
"2,395","1","1","226 E 75th St #2A"
"2,495","2","1","530 E 13th St #16"
"10,500","2","2","70 Charlton St #8F"
"3,900","1","1","32 Gramercy Park S #3F"
"8,200","2","2","50 West St #27A"
"9,995","3","2","9 E 62nd St #4"
"2,795","1","1","252 E 61st St #S3G"
"7,300","3","2","401 E 89th St #6A"
"6,200","2","2","330 E 38th St #34K"
"2,795","1","1","625 W 57th St #411"
"3,600","1","1","410 W 53rd St #425"
"3,275","1","1","150 W 58th St #5D"
"3,100","3","1","452 Fort Washington Ave #4"
"3,175","1","1","410 W 53rd St #327"
"3,975","1","1","323 W 96th St #1014"
"4,750","2","2","50 W 34th St #16C7"
"5,725","2","1","145 W 58th St #9D"
"9,950","4","4","259 W 90th St #1"
"3,817","1","1","250 W 93rd St #5G"
"5,660","2","1","210 E 22nd St #6O"
"3,875","3","2","255 Cabrini Blvd #6H"
"5,995","1","1","35 W 95th St #1"
"3,095","1","1","364 W 18th St #4N"
"10,500","3","3","285 W 110th St #7A"
"2,200","2","1","427 Fort Washington Ave #5F"
"3,200","3","1","227 Haven Ave #6F"
"3,700","3","1","207 Clinton St #2"
"23,000","3","3","845 United Nations Plz #78C"
"2,450","1","1","20 West St #17L"
"8,495","1","2","250 W 19th St #PHC"
"4,250","1","1","247 W 46th St #306"
"2,800","1","1","55 Wall St #835"
"6,300","2","2","200 E 94th St #2315"
"50,000","2","2","795 5th Ave #6"
"7,500","2","2","101 Wall St #20A"
"50,000","3","4","944 Park Ave #16"
"5,850","2","2","181 Hudson St #2D"
"6,795","2","2","285 W 110th St #4B"
"9,000","3","3","203 W 90th St #7B"
"3,250","1","1","200 Water St #1504"
"37,000","2","2","795 5th Ave #16"
"19,000","3","3","140 E 63rd St #11C"
"5,450","2","2","350 W 42nd St #23L"
"3,400","1","1","157 Ludlow St #3F"
"6,350","2","1","1600 Broadway #10C"
"18,800","4","3","340 W 57th St #3ABC"
"9,000","2","2","225 5th Ave #2B"
"2,450","1","1","135 E 54th St #3F"
"30,000","2","2","40 Mercer St #37"
"75,000","3","4","151 E 58th St #53W"
"5,795","2","2","424 W End Ave #1310"
"3,500","1","1","145 4th Ave #6H"
"6,135","2","2","885 6th Ave #42C"
"4,200","4","2","180 Claremont Ave #41"
"3,285","1","1","405 Main St #2M"
"3,195","1","1","200 W End Ave #6K"
"4,056","1","1","400 E 57th St #10M"
"5,995","2","2","200 E 94th St #2715"
"4,440","1","1","101 W 15th St #214"
"2,195","1","1","109 W 112th St #61"
"1,600","1","1","4580 Broadway #2N"
"15,000","2","3","120 E 87th St #R6P"
"40,000","6","7","222 E 83rd St"
"3,462","1","1","101 W 15th St #316"
"5,135","1","1","450 W 42nd St #20Q"
"5,925","2","2","201 E 87th St #8P"
"2,150","1","1","357 Pleasant Ave #2"
"33,000","4","4","60 Warren St #4"
"55,000","7","7","12 E 80th St #1"
"4,688","1","1","507 W 28th St #28L"
"3,938","1","1","507 W 28th St #14A"
"5,300","2","2","200 Rector Pl #37B"
"2,850","1","1","280 E 2nd St #3005"
"6,195","3","2","317 Avenue Of The Americas #2"
"4,246","1","1","507 W 28th St #14K"
"3,500","1","1","330 E 38th St #15C"
"2,931","1","1","400 W 113th St #W1602"
"3,872","3","2","4857 Broadway #7B"
"5,315","2","2","235 E 44th St #8D"
"4,112","1","1","400 W 113th St #W1506"
"2,099","1","1","534 E 14th St #14A"
"3,695","1","1","245 E 19th St #5H"
"3,000","2","1","450 W 47th St #1B"
"4,495","1","1","55 E 9th St #8"
"4,995","1","1","37 E 4th St #4B"
"5,499","2","2","1845 Adam Clayton Powell Jr Blvd #1A"
"32,000","5","5","222 E 81st St #TH"
"3,000","2","1","327 E 92nd St #5"
"6,175","2","2","260 W 26th St #8F"
"1,950","1","1","134 W 109th St #5A"
"3,650","2","1","362 3rd Ave #2AB"
"5,995","2","2","128 E 36th St #2"
"3,700","1","1","2373 Broadway #1024"
"3,200","1","1","90 William St #9D"
"4,000","4","2","540 W 136th St #4"
"20,000","3","3","515 W 23rd St #11"
"55,000","5","4","11 E 68th St #6WE"
"5,500","2","2","635 W 42nd St #42N"
"2,700","1","1","1 Bank St #3A"
"11,000","2","2","228 West Broadway #3"
"6,195","2","2","2 Water St #11H"
"5,250","2","1","635 W 42nd St #26L"
"4,487","2","1","1 Dutch St #5E"
"17,000","5","3","350 Central Park W #9BC"
"4,200","1","1","635 W 42nd St #40M"
"5,500","2","2","635 W 42nd St #35L"
"5,800","2","2","635 W 42nd St #31C"
"5,500","3","1","635 W 42nd St #41C"
"4,500","2","1","635 W 42nd St #22M"
"4,650","2","1","635 W 42nd St #37T"
"7,500","3","2","635 W 42nd St #38MM"
"7,000","3","2","635 W 42nd St #46C"
"6,000","3","1","635 W 42nd St #38CC"
"4,500","1","1","635 W 42nd St #37CC"
"3,695","1","1","212 W 91st St #519"
"15,000","4","2","117 E 24th St #9"
