price,bedrooms,bathrooms,addr,lat,lng
"2,495",1,1,363 3rd Ave #2D,40.6746756,-73.9883459
"3,650",2,1,362 3rd Ave #2AB,40.6748546,-73.9881956
"6,000",4,2,350 3rd Ave #3D,40.6753988,-73.9877428
"5,833",2,2,350 3rd Ave #2B,40.6753988,-73.9877428
"3,325",1,1,344 3rd Ave #11J,40.6755676,-73.9876016
"4,595",2,2,344 3rd Ave #5F,40.6755676,-73.9876016
"3,500",1,1,43 W 9th St #4R,40.6767368,-74.0048462
"4,630",1,1,290 3rd Ave #23D,40.6772487,-73.9864424
"3,450",1,2,290 3rd Ave #2C,40.6772487,-73.9864424
"6,950",2,2,290 3rd Ave #24C,40.6772487,-73.9864424
"4,800",3,2,256 3rd Ave #4,40.6781812,-73.9857819
"3,500",1,1,145 4th Ave #6H,40.6794318,-73.9813252
"3,550",1,9,145 4th Ave #8L,40.6794318,-73.9813252
"3,650",1,1,145 4th Ave #14H,40.6794318,-73.9813252
"3,475",1,1,145 4th Ave #5D,40.6794318,-73.9813252
"4,300",1,1,145 4th Ave #6,40.6794318,-73.9813252
"3,425",1,1,145 4th Ave #3D,40.6794318,-73.9813252
"3,550",1,1,145 4th Ave #8K,40.6794318,-73.9813252
"3,595",1,1,145 4th Ave #10H,40.6794318,-73.9813252
"3,595",1,1,145 4th Ave #10L,40.6794318,-73.9813252
"3,400",1,1,145 4th Ave #3N,40.6794318,-73.9813252
"3,550",1,1,145 4th Ave #8H,40.6794318,-73.9813252
"3,675",1,1,145 4th Ave #15K,40.6794318,-73.9813252
"4,625",1,1,145 4th Ave #14G,40.6794318,-73.9813252
"3,400",1,1,145 4th Ave #5P,40.6794318,-73.9813252
"4,500",1,1,140 4th Ave #0003EJ,40.6802639,-73.9814652
"6,000",1,2,115 4th Ave #2H,40.6805614,-73.9808267
"8,500",2,2,115 4th Ave #3F,40.6805614,-73.9808267
"3,900",3,1,346 Malcolm X Blvd #B1,40.6809328,-73.9289063
"2,795",1,1,113 Saint Marks Pl #1E,40.68137,-73.9783193
"3,162",1,6,85 4th Ave #5BB,40.6815355,-73.979931
"4,308",1,1,85 4th Ave #3EE,40.6815355,-73.979931
"3,690",1,1,85 4th Ave #3AA,40.6815355,-73.979931
"9,995",2,2,59 4th Ave #2B,40.6822789,-73.9793786
"2,590",3,1,112 Madison St #6S,40.6840811,-73.954686
"2,600",3,1,112 Madison St #6,40.6840811,-73.954686
"3,200",2,2,31 Monroe St #8A,40.6848002,-73.9578831
"3,400",2,1,103 Avenue A #3C,40.6855638,-73.8334203
"8,295",4,2,61 Grove St #2A,40.692319,-73.92206
"3,300",3,1,102 Washington Pl #2,40.695527,-73.9675565
