"","locality","Freq","percrank","riskrank"
"1",10029,2879,1,4
"2",10002,2650,0.993939393939394,4
"3",10035,2383,0.987878787878788,4
"4",10026,2215,0.981818181818182,4
"5",10027,1997,0.975757575757576,4
"6",10025,1948,0.96969696969697,4
"7",10003,1782,0.963636363636364,4
"8",10036,1768,0.957575757575758,4
"9",10011,1627,0.951515151515152,4
"10",10012,1506,0.945454545454545,4
"11",10009,1403,0.939393939393939,4
"12",10030,1387,0.933333333333333,4
"13",10031,1371,0.927272727272727,4
"14",10032,1357,0.921212121212121,4
"15",10033,1301,0.915151515151515,4
"16",10039,1200,0.909090909090909,4
"17",10010,1192,0.903030303030303,4
"18",10034,1066,0.893939393939394,4
"19",10037,1066,0.893939393939394,4
"20",10040,1042,0.884848484848485,4
"21",10014,1001,0.878787878787879,4
"22",10128,912,0.872727272727273,4
"23",10024,874,0.866666666666667,4
"24",10028,835,0.860606060606061,4
"25",10019,802,0.854545454545454,4
"26",10013,717,0.848484848484849,4
"27",10018,701,0.842424242424242,4
"28",10278,698,0.836363636363636,4
"29",10120,683,0.83030303030303,4
"30",10023,675,0.824242424242424,4
"31",10021,594,0.818181818181818,4
"32",10155,563,0.812121212121212,4
"33",10107,560,0.806060606060606,4
"34",10199,555,0.8,4
"35",10016,485,0.793939393939394,4
"36",10118,439,0.787878787878788,4
"37",10038,405,0.781818181818182,4
"38",10095,393,0.775757575757576,4
"39",10123,360,0.76969696969697,4
"40",10098,359,0.763636363636364,4
"41",10022,328,0.757575757575758,4
"42",10153,298,0.751515151515151,3
"43",10065,297,0.745454545454545,3
"44",10069,288,0.739393939393939,3
"45",10122,276,0.733333333333333,3
"46",10017,256,0.727272727272727,3
"47",10041,245,0.721212121212121,3
"48",10115,241,0.715151515151515,3
"49",10112,240,0.709090909090909,3
"50",10121,239,0.703030303030303,3
"51",10110,236,0.693939393939394,3
"52",10111,236,0.693939393939394,3
"53",10119,221,0.684848484848485,3
"54",10045,219,0.678787878787879,3
"55",10279,216,0.672727272727273,3
"56",10271,199,0.666666666666667,3
"57",10020,193,0.660606060606061,3
"58",10151,185,0.654545454545455,3
"59",10175,177,0.648484848484848,3
"60",10001,172,0.642424242424242,3
"61",10104,168,0.636363636363636,3
"62",10075,167,0.63030303030303,3
"63",10106,162,0.624242424242424,3
"64",10158,153,0.618181818181818,3
"65",10007,136,0.612121212121212,3
"66",10105,131,0.606060606060606,3
"67",10152,112,0.596969696969697,3
"68",10173,112,0.596969696969697,3
"69",10048,110,0.587878787878788,3
"70",10162,106,0.581818181818182,3
"71",10174,105,0.575757575757576,3
"72",10154,104,0.56969696969697,3
"73",10178,102,0.563636363636364,3
"74",10005,97,0.554545454545455,3
"75",10270,97,0.554545454545455,3
"76",10006,96,0.545454545454545,3
"77",10176,93,0.536363636363636,3
"78",10286,93,0.536363636363636,3
"79",10103,83,0.527272727272727,3
"80",10172,78,0.518181818181818,3
"81",10250,78,0.518181818181818,3
"82",10165,77,0.509090909090909,3
"83",10282,74,0.503030303030303,2
"84",10168,67,0.496969696969697,2
"85",10171,63,0.490909090909091,2
"86",10170,52,0.484848484848485,2
"87",10167,42,0.478787878787879,2
"88",10422,35,0.472727272727273,2
"89",10285,32,0.466666666666667,2
"90",10280,31,0.460606060606061,2
"91",10169,29,0.454545454545455,2
"92",10177,25,0.448484848484848,2
"93",10281,23,0.442424242424242,2
"94",10044,21,0.436363636363636,2
"95",10082,17,0.43030303030303,2
"96",10156,16,0.424242424242424,2
"97",10094,15,0.418181818181818,2
"98",10268,14,0.412121212121212,2
"99",10008,12,0.393939393939394,2
"100",10133,12,0.393939393939394,2
"101",10163,12,0.393939393939394,2
"102",10166,12,0.393939393939394,2
"103",10242,12,0.393939393939394,2
"104",10126,11,0.360606060606061,2
"105",10164,11,0.360606060606061,2
"106",10249,11,0.360606060606061,2
"107",10259,11,0.360606060606061,2
"108",10277,11,0.360606060606061,2
"109",10292,11,0.360606060606061,2
"110",10043,10,0.312121212121212,2
"111",10080,10,0.312121212121212,2
"112",10124,10,0.312121212121212,2
"113",10129,10,0.312121212121212,2
"114",10130,10,0.312121212121212,2
"115",10197,10,0.312121212121212,2
"116",10212,10,0.312121212121212,2
"117",10213,10,0.312121212121212,2
"118",10265,10,0.312121212121212,2
"119",10276,10,0.312121212121212,2
"120",10047,9,0.245454545454545,1
"121",10060,9,0.245454545454545,1
"122",10081,9,0.245454545454545,1
"123",10087,9,0.245454545454545,1
"124",10113,9,0.245454545454545,1
"125",10114,9,0.245454545454545,1
"126",10116,9,0.245454545454545,1
"127",10149,9,0.245454545454545,1
"128",10157,9,0.245454545454545,1
"129",10161,9,0.245454545454545,1
"130",10196,9,0.245454545454545,1
"131",10272,9,0.245454545454545,1
