"","locality","Freq","percrank","riskrank"
"132",10055,8,0.175757575757576,1
"133",10099,8,0.175757575757576,1
"134",10102,8,0.175757575757576,1
"135",10125,8,0.175757575757576,1
"136",10131,8,0.175757575757576,1
"137",10184,8,0.175757575757576,1
"138",10185,8,0.175757575757576,1
"139",10257,8,0.175757575757576,1
"140",10258,8,0.175757575757576,1
"141",10260,8,0.175757575757576,1
"142",10261,8,0.175757575757576,1
"143",10046,7,0.115151515151515,1
"144",10096,7,0.115151515151515,1
"145",10109,7,0.115151515151515,1
"146",10132,7,0.115151515151515,1
"147",10150,7,0.115151515151515,1
"148",10211,7,0.115151515151515,1
"149",10269,7,0.115151515151515,1
"150",10273,7,0.115151515151515,1
"151",10275,7,0.115151515151515,1
"152",10072,6,0.0696969696969697,1
"153",10108,6,0.0696969696969697,1
"154",10117,6,0.0696969696969697,1
"155",10138,6,0.0696969696969697,1
"156",10179,6,0.0696969696969697,1
"157",10274,6,0.0696969696969697,1
"158",10090,5,0.0424242424242424,1
"159",10101,5,0.0424242424242424,1
"160",10159,5,0.0424242424242424,1
"161",10079,4,0.0242424242424242,1
"162",10203,4,0.0242424242424242,1
"163",10256,4,0.0242424242424242,1
"164",10160,3,0.0121212121212121,1
"165",10015,2,0.00606060606060606,1
