SHELTER_ID,the_geom,CORNER,LOCATION,AT_BETWEEN,IN_SERVICE,LONGITUDE,LATITUDE
BR02021,POINT (-73.967383 40.605417),SW,KINGS HWY,OCEAN PKWY,Y,-73.967383,40.605417
BR02022,POINT (-73.937532 40.600981),NW,AV U,COYLE ST,Y,-73.937532,40.600981
BR02023,POINT (-73.933006 40.600058),SE,GERRITSEN AV,AV V,Y,-73.933006,40.600058
BR02024,POINT (-73.930756 40.670654),NE,ST JOHNS PL,UTICA AV,Y,-73.930756,40.670654
BR02025,POINT (-73.923162 40.67023700000001),NW,ST JOHNS PL,RALPH AV,Y,-73.923162,40.670237
BR02026,POINT (-73.894842 40.669359),SE,Sutter Av,Pennsylvania Av,Y,-73.894842,40.669359
BR02027,POINT (-73.895303 40.669142),SW,Pennsylvania Av,SUTTER AV,Y,-73.895303,40.669142
BR02029,POINT (-73.894063 40.664333),SW,Pennsylvania Av,LIVONIA AV,Y,-73.894063,40.664333
BR02031,POINT (-73.941684 40.600522),NE,AV U,NOSTRAND AV,Y,-73.941684,40.600522
BR02032,POINT (-73.955863 40.587719),SE,AV Z,E 13 ST,Y,-73.955863,40.587719
BR02033,POINT (-73.907818 40.619706),NW,AV U,E 71 ST,Y,-73.907818,40.619706
BR02034,POINT (-73.932018 40.663624),NW,EMPIRE BLVD,UTICA AV,Y,-73.932018,40.663624
BR02035,POINT (-73.869818 40.673154),NW,SUTTER AV,CRESCENT ST,Y,-73.869818,40.673154
BR02036,POINT (-73.888463 40.670312),SE,SUTTER AV,HENDRIX ST,Y,-73.888463,40.670312
BR02037,POINT (-73.891114 40.662639),SE,NEW LOTS AV,VERMONT ST,Y,-73.891114,40.662639
BR02038,POINT (-73.87426 40.669341),NW,DUMONT AV,FOUNTAIN AV,Y,-73.87426,40.669341
BR0204,POINT (-73.897034 40.678279),SE,JAMAICA AV,Pennsylvania Av,Y,-73.897034,40.678279
BR02040,POINT (-73.893066 40.661594),SW,Pennsylvania Av,NEW LOTS AV,Y,-73.893066,40.661594
BR02041,POINT (-73.881396 40.666855),SE,NEW LOTS AV,ELTON ST,Y,-73.881396,40.666855
BR02042,POINT (-73.889459 40.663368),SE,NEW LOTS AV,BRADFORD ST,Y,-73.889459,40.663368
BR02043,POINT (-73.95257600000001 40.633393),SE,GLENWOOD RD,BEDFORD AV,Y,-73.952576,40.633393
BR02045,POINT (-73.91765 40.624567),NE,RALPH AV,AV L,Y,-73.91765,40.624567
BR02046,POINT (-73.91369 40.635384),NW,FLATLANDS AV,E 80 ST,Y,-73.91369,40.635384
BR02047,POINT (-73.941036 40.58395),NW,EMMONS AV,E 28 ST,Y,-73.941036,40.58395
BR02048,POINT (-73.960012 40.713715),SW,DRIGGS AV,GRAND ST,Y,-73.960012,40.713715
BR02049,POINT (-73.949231 40.714142),NE,METROPOLITAN AV,LORIMER ST,Y,-73.949231,40.714142
BR02050,POINT (-73.96066 40.690373),NW,DEKALB AV,CLASSON AV,Y,-73.96066,40.690373
BR02051,POINT (-73.978187 40.693521),NW,MYRTLE AV,ST EDWARDS ST,Y,-73.978187,40.693521
BR02052,POINT (-73.933086 40.675242),NE,BERGEN ST,SCHENECTADY AV,Y,-73.933086,40.675242
BR02054,POINT (-73.931144 40.670511),SW,ST JOHNS PL,UTICA AV,Y,-73.931144,40.670511
BR02055,POINT (-73.941361 40.677425),NE,KINGSTON AV,PACIFIC ST,Y,-73.941361,40.677425
BR02059,POINT (-73.866056 40.683101),SE,Atlantic Av,ELDERT LANE,Y,-73.866056,40.683101
BR02060,POINT (-73.866093 40.67859800000001),SW,GRANT AV,LIBERTY AV,Y,-73.866093,40.678598
BR02061,POINT (-73.872171 40.683367000000004),SW,CRESCENT ST,FULTON ST,Y,-73.872171,40.683367
BR02064,POINT (-73.93586 40.687985),NE,GATES AV,LEWIS AV,Y,-73.93586,40.687985
BR02066,POINT (-73.937416 40.693049),NW,DEKALB AV,LEWIS AV,Y,-73.937416,40.693049
BR02068,POINT (-73.9834 40.699894),NW,SANDS ST,GOLD ST,Y,-73.9834,40.699894
BR02069,POINT (-73.963652 40.690028),NW,DEKALB AV,RYERSON ST,Y,-73.963652,40.690028
BR02070,POINT (-73.946403 40.695417),SW,TOMPKINS AV,MYRTLE AV,Y,-73.946403,40.695417
BR02071,POINT (-73.973259 40.677844),SW,7 AV,FLATBUSH AV,Y,-73.973259,40.677844
BR02073,POINT (-73.960355 40.618049),NW,AV M,E 15 ST,Y,-73.960355,40.618049
BR02074,POINT (-73.97272 40.693311),NE,MYRTLE AV,CARLTON AV,Y,-73.97272,40.693311
BR02156,POINT (-73.978716 40.684438),SW,Atlantic Av,4 AV,Y,-73.978716,40.684438
BR02157,POINT (-73.935475 40.68352),NW,HALSEY ST,LEWIS AV,Y,-73.935475,40.68352
BR02158,POINT (-73.89945 40.659093),NW,NEW LOTS AV,VAN SINDEREN AV,Y,-73.89945,40.659093
BR0216,POINT (-73.896655 40.675888),NE,Atlantic Av,Pennsylvania Av,Y,-73.896655,40.675888
BR02161,POINT (-73.892958 40.661978),NE,NEW LOTS AV,Pennsylvania Av,Y,-73.892958,40.661978
BR02162,POINT (-73.874212 40.672343),SE,SUTTER AV,FOUNTAIN AV,Y,-73.874212,40.672343
BR02424,POINT (-73.970797 40.646705),NE,Coney Island Av,CHURCH AV,Y,-73.970797,40.646705
BR02425,POINT (-73.943139 40.706365),SW,GRAHAM AV,JOHNSON AV,Y,-73.943139,40.706365
BR02426,POINT (-73.94661 40.695747),NW,MYRTLE AV,TOMPKINS AV,Y,-73.94661,40.695747
BR02428,POINT (-73.933523 40.632603),NW,AV H,E 45 ST,Y,-73.933523,40.632603
BR02431,POINT (-74.000564 40.654359),NE,5 AV,34 ST,Y,-74.000564,40.654359
BR02432,POINT (-73.97596600000001 40.62608900000001),NE,AV I,MCDONALD AV,Y,-73.975966,40.626089
BR02435,POINT (-73.976815 40.681641),NE,5 AV,BERGEN ST,Y,-73.976815,40.681641
BR02436,POINT (-73.978185 40.616446),SE,60 ST,BAY PKWY,Y,-73.978185,40.616446
BR02437,POINT (-73.929151 40.679069),SE,UTICA AV,FULTON ST,Y,-73.929151,40.679069
BR02439,POINT (-73.93394400000001 40.651503),SE,CHURCH AV,E 46 ST,Y,-73.933944,40.651503
BR02440,POINT (-73.936848 40.670986),NW,ST JOHNS PL,TROY AV,Y,-73.936848,40.670986
BR02441,POINT (-73.959062 40.685306),NE,GATES AV,CLASSON AV,Y,-73.959062,40.685306
BR02442,POINT (-73.943514 40.696366),NE,THROOP AV,MYRTLE AV,Y,-73.943514,40.696366
BR02444,POINT (-73.943799 40.68222),SW,TOMPKINS AV,HALSEY ST,Y,-73.943799,40.68222
BR02445,POINT (-73.927911 40.625954),SW,FLATLANDS AV,UTICA AV,Y,-73.927911,40.625954
BR02446,POINT (-73.910756 40.669352),SW,ROCKAWAY AV,PITKIN AV,Y,-73.910756,40.669352
BR02447,POINT (-73.953775 40.611102),NW,OCEAN AV,AV P,Y,-73.953775,40.611102
BR02448,POINT (-73.915132 40.696653),NW,GATES AV,Knickerbocker Av,Y,-73.915132,40.696653
BR02449,POINT (-74.028574 40.629802),SW,3 AV,77 ST,Y,-74.028574,40.629802
BR02450,POINT (-73.954367 40.577476),NW,Brighton Beach Av,CORBIN PL,Y,-73.954367,40.577476
BR02451,POINT (-73.924027 40.611456),SE,FLATBUSH AV,AV T,Y,-73.924027,40.611456
BR02452,POINT (-74.013695 40.614058),NE,86 ST,13 AV,Y,-74.013695,40.614058
BR02453,POINT (-73.974824 40.596876),NE,AV U,VAN SICKLEN ST,Y,-73.974824,40.596876
BR02700,POINT (-73.968193 40.580407),NW,NEPTUNE AV,OCEAN PKWY,Y,-73.968193,40.580407
BR02701,POINT (-73.953363 40.587360000000004),NW,E 16 ST,SHEEPSHEAD BAY RD,Y,-73.953363,40.58736
BR02702,POINT (-73.948946 40.588478),SE,AV Z,OCEAN AV,Y,-73.948946,40.588478
BR02703,POINT (-73.966648 40.586541),SW,AV Z,OCEAN PKWY,Y,-73.966648,40.586541
BR02704,POINT (-73.911467 40.683684),NW,COOPER ST,BROADWAY,Y,-73.911467,40.683684
BR02705,POINT (-73.924009 40.68899),SW,RALPH AV,GATES AV,Y,-73.924009,40.68899
BR02706,POINT (-74.010783 40.679055),NE,VAN BRUNT ST,PIONEER ST,Y,-74.010783,40.679055
BR02707,POINT (-73.940887 40.721505),SE,KINGSLAND AV,LOMBARDY ST,Y,-73.940887,40.721505
BR02708,POINT (-73.969647 40.604413),SE,KINGS HWY,E 3 ST,Y,-73.969647,40.604413
BR02086,POINT (-73.902754 40.665323),NE,POWELL ST,DUMONT AV,Y,-73.902754,40.665323
BR02087,POINT (-73.891841 40.669946),NW,SUTTER AV,BRADFORD ST,Y,-73.891841,40.669946
BR02088,POINT (-73.881381 40.671489),NW,SUTTER AV,ESSEX ST,Y,-73.881381,40.671489
BR02089,POINT (-73.869618 40.673053),SW,SUTTER AV,CRESCENT ST,Y,-73.869618,40.673053
BR02090,POINT (-73.96486 40.62487600000001),NE,AV J,CONEY ISLAND AV,Y,-73.96486,40.624876
BR02092,POINT (-73.99297 40.634325000000004),SW,13 AV,50 ST,Y,-73.99297,40.634325
BR02093,POINT (-73.946142 40.731627),NE,GREENPOINT AV,HUMBOLDT ST,Y,-73.946142,40.731627
BR02094,POINT (-73.954194 40.730445),NE,MANHATTAN AV,GREENPOINT AV,Y,-73.954194,40.730445
BR02095,POINT (-73.940148 40.715978),SW,KINGSLAND AV,SKILLMAN AV,Y,-73.940148,40.715978
BR02098,POINT (-73.935251 40.679686),NW,FULTON ST,LEWIS AV,Y,-73.935251,40.679686
BR02102,POINT (-73.982605 40.698276),SE,NASSAU ST,GOLD ST,Y,-73.982605,40.698276
BR02103,POINT (-73.979409 40.693423),SW,MYRTLE AV,ASHLAND PL,Y,-73.979409,40.693423
BR02104,POINT (-73.971993 40.649777),SW,Coney Island Av,CATON  PL,Y,-73.971993,40.649777
BR02105,POINT (-73.983219 40.699683),SW,SANDS ST,GOLD ST,Y,-73.983219,40.699683
BR02106,POINT (-73.964613 40.703429),NE,WYTHE AV,ROSS ST,Y,-73.964613,40.703429
BR02107,POINT (-74.002806 40.684601),NE,COLUMBIA ST,UNION ST,Y,-74.002806,40.684601
BR02108,POINT (-73.930369 40.688998000000005),SW,MALCOLM X BLVD,QUINCY ST,Y,-73.930369,40.688998
BR02111,POINT (-73.990414 40.693351),SE,COURT ST,MONTAGUE ST,Y,-73.990414,40.693351
BR02112,POINT (-73.99034 40.693501),SE,COURT ST,MONTAGUE ST,Y,-73.99034,40.693501
BR02113,POINT (-73.94409 40.713269),NE,GRAHAM AV,AINSLIE ST,Y,-73.94409,40.713269
BR02115,POINT (-73.911676 40.700173),NE,GATES AV,WYCKOFF AV,Y,-73.911676,40.700173
BR02116,POINT (-73.990466 40.588817),SW,CROPSEY AV,BAY 44 ST,Y,-73.990466,40.588817
BR02118,POINT (-74.007905 40.674756),NW,LORRAINE ST,COLUMBIA ST,Y,-74.007905,40.674756
BR02119,POINT (-73.93257 40.683856),NW,HALSEY ST,STUYVESANT AV,Y,-73.93257,40.683856
BR02120,POINT (-73.878351 40.643037),NW,SEAVIEW AV,Pennsylvania Av,Y,-73.878351,40.643037
BR02121,POINT (-73.89319 40.662154),NE,Pennsylvania Av,NEW LOTS AV,Y,-73.89319,40.662154
BR02122,POINT (-73.895934 40.671623),SW,Pennsylvania Av,PITKIN AV,Y,-73.895934,40.671623
BR02123,POINT (-73.88689600000001 40.683248),NW,JAMAICA AV,CLEVELAND ST,Y,-73.886896,40.683248
BR02124,POINT (-74.003183 40.577118),NE,37 ST,NEPTUNE AV,Y,-74.003183,40.577118
BR02125,POINT (-73.955667 40.640684),NE,FLATBUSH AV,AV D,Y,-73.955667,40.640684
BR02126,POINT (-73.966441 40.632357),SE,FOSTER AV,CONEY ISLAND AV,Y,-73.966441,40.632357
BR02127,POINT (-73.939473 40.65637300000001),NE,ALBANY AV,CLARKSON AV,Y,-73.939473,40.656373
BR02128,POINT (-73.939755 40.657552),SE,ALBANY AV,WINTHROP ST,Y,-73.939755,40.657552
BR02129,POINT (-73.968818 40.687548),SW,VANDERBILT AV,LAFAYETTE AV,Y,-73.968818,40.687548
BR02130,POINT (-73.968627 40.686575),NW,VANDERBILT AV,GREENE AV,Y,-73.968627,40.686575
BR02132,POINT (-73.900058 40.677152),NE,JAMAICA AV,BROADWAY,Y,-73.900058,40.677152
BR02136,POINT (-73.923794 40.699773),NW,DEKALB AV,WILSON AV,Y,-73.923794,40.699773
BR02137,POINT (-73.919677 40.703963),SW,DEKALB AV,WYCKOFF AV,Y,-73.919677,40.703963
BR02140,POINT (-73.960923 40.598256),SE,AV U,CONEY ISLAND AV,Y,-73.960923,40.598256
BR02141,POINT (-73.96055 40.591887),NE,Coney Island Av,AV X,Y,-73.96055,40.591887
BR02142,POINT (-73.943144 40.607636),NE,NOSTRAND AV,AV R,Y,-73.943144,40.607636
BR02143,POINT (-73.898345 40.668983000000004),NW,SUTTER AV,ALABAMA AV,Y,-73.898345,40.668983
BR02144,POINT (-73.911167 40.669696),NW,PITKIN AV,ROCKAWAY AV,Y,-73.911167,40.669696
BR02146,POINT (-73.908938 40.662256),SW,ROCKAWAY AV,LIVONIA AV,Y,-73.908938,40.662256
BR02147,POINT (-73.925789 40.697734),SW,DEKALB AV,MYRTLE AV,Y,-73.925789,40.697734
BR02148,POINT (-73.909341 40.663833),SW,ROCKAWAY AV,DUMONT AV,Y,-73.909341,40.663833
BR02149,POINT (-73.922789 40.666795),SW,RALPH AV,EAST NEW YORK AV,Y,-73.922789,40.666795
BR02150,POINT (-73.916284 40.669843),SE,East New York Av,STRAUSS ST,Y,-73.916284,40.669843
BR02151,POINT (-73.922916 40.666923),SW,East New York Av,RALPH AV,Y,-73.922916,40.666923
BR02153,POINT (-73.911084 40.676009),SW,ROCKAWAY AV,ATLANTIC AV,Y,-73.911084,40.676009
BR02154,POINT (-73.974033 40.590411),SW,SHELL RD,AV X,Y,-73.974033,40.590411
BR02165,POINT (-73.94145 40.679872),SW,FULTON ST,KINGSTON AV,Y,-73.94145,40.679872
BR02166,POINT (-73.898629 40.668794),SE,SUTTER AV,WILLIAMS AV,Y,-73.898629,40.668794
BR02167,POINT (-73.884769 40.650411),SW,Pennsylvania Av,VANDALIA AV,Y,-73.884769,40.650411
BR02169,POINT (-73.971802 40.579549),SE,W 5 ST,NEPTUNE AV,Y,-73.971802,40.579549
BR02170,POINT (-73.941464 40.686009000000006),NE,THROOP AV,MADISON ST,Y,-73.941464,40.686009
BR02171,POINT (-74.007649 40.620326),SW,BAY RIDGE PKWY,13 AV,Y,-74.007649,40.620326
BR02173,POINT (-74.00344 40.641257),NE,8 AV,50 ST,Y,-74.00344,40.641257
BR02174,POINT (-73.916387 40.649712),NE,REMSEN AV,AV B,Y,-73.916387,40.649712
BR02175,POINT (-73.922408 40.646854),NE,BEVERLY RD,E 58 St,Y,-73.922408,40.646854
BR02176,POINT (-73.874208 40.689139),SW,JAMAICA AV,CRESCENT ST,Y,-73.874208,40.689139
BR02177,POINT (-74.003843 40.682848),SW,COLUMBIA ST,CARROLL ST,Y,-74.003843,40.682848
BR02179,POINT (-73.953031 40.676995),SW,DEAN ST,BEDFORD AV,Y,-73.953031,40.676995
BR02180,POINT (-74.012033 40.612805),SW,86 ST,14 AV,Y,-74.012033,40.612805
BR02181,POINT (-73.88869 40.663701),SE,NEW LOTS AV,MILLER AV,Y,-73.88869,40.663701
BR02182,POINT (-73.862633 40.6691),SE,ELDERT LANE,LINDEN BLVD,Y,-73.862633,40.6691
BR02183,POINT (-73.971863 40.650433),NE,Coney Island Av,PARK CIRCLE,Y,-73.971863,40.650433
BR02184,POINT (-73.978426 40.616883),NW,BAY PKWY,60 ST,Y,-73.978426,40.616883
BR02186,POINT (-73.966847 40.632014),SW,Coney Island Av,FOSTER AV,Y,-73.966847,40.632014
BR02187,POINT (-73.975824 40.625952),SE,AV I,MCDONALD AV,Y,-73.975824,40.625952
BR02189,POINT (-73.997572 40.598826),NW,BATH AV,BAY PKWY,Y,-73.997572,40.598826
BR02192,POINT (-73.9307 40.651642),SW,CHURCH AV,UTICA AV,Y,-73.9307,40.651642
BR02193,POINT (-73.94661 40.651223),NE,NEW YORK AV,CHURCH AV,Y,-73.94661,40.651223
BR02194,POINT (-73.952472 40.65134700000001),SE,ROGERS AV,Martense St,Y,-73.952472,40.651347
BR02195,POINT (-73.956798 40.655077),NW,CLARKSON AV,BEDFORD AV,Y,-73.956798,40.655077
BR02196,POINT (-73.93028 40.65201),NE,UTICA AV,CHURCH AV,Y,-73.93028,40.65201
BR02197,POINT (-73.919817 40.652976),NE,CHURCH AV,REMSEN AV,Y,-73.919817,40.652976
BR02199,POINT (-73.930958 40.691943),SW,MALCOLM X BLVD,LAFAYETTE AV,Y,-73.930958,40.691943
BR02200,POINT (-73.955288 40.710158),NE,RODNEY ST,S 3 ST,Y,-73.955288,40.710158
BR02206,POINT (-73.96271200000001 40.577448),NW,Brighton Beach Av,BRIGHTON 5 ST,Y,-73.962712,40.577448
BR02208,POINT (-73.951317 40.599671),NE,OCEAN AV,AV U,Y,-73.951317,40.599671
BR02210,POINT (-73.912672 40.655906),NE,E 98 ST,HEGEMAN AV,Y,-73.912672,40.655906
BR02211,POINT (-73.915513 40.661314000000004),SW,SARATOGA AV,LIVONIA AV,Y,-73.915513,40.661314
BR02213,POINT (-73.943959 40.711355000000005),SW,GRAHAM AV,GRAND ST,Y,-73.943959,40.711355
BR02214,POINT (-73.926692 40.701175),SW,WILSON AV,STARR ST,Y,-73.926692,40.701175
BR02216,POINT (-73.960617 40.587207),SW,AV Z,CONEY ISLAND AV,Y,-73.960617,40.587207
BR02218,POINT (-73.948745 40.640863),SW,AV D,NOSTRAND AV,Y,-73.948745,40.640863
BR02219,POINT (-74.022837 40.629253000000006),SW,5 AV,BAY RIDGE PKWY,Y,-74.022837,40.629253
BR02220,POINT (-73.92467400000001 40.673767),SE,ST MARKS AV,BUFFALO AV,Y,-73.924674,40.673767
BR02221,POINT (-73.940136 40.57804200000001),SW,ORIENTAL BLVD,MACKENZIE ST,Y,-73.940136,40.578042
BR02222,POINT (-73.939918 40.578065),SW,ORIENTAL BLVD,MACKENZIE ST,Y,-73.939918,40.578065
BR02224,POINT (-73.958729 40.682873),SE,CLASSON AV,PUTNAM AV,Y,-73.958729,40.682873
BR02225,POINT (-73.966451 40.705131),NE,WYTHE AV,CLYMER ST,Y,-73.966451,40.705131
BR02226,POINT (-73.94305 40.680109),NE,FULTON ST,TOMPKINS AV,Y,-73.94305,40.680109
BR02228,POINT (-73.928474 40.632579),SW,UTICA AV,AV H,Y,-73.928474,40.632579
BR02229,POINT (-73.928607 40.632745),SW,AV H,UTICA AV,Y,-73.928607,40.632745
BR02231,POINT (-73.927884 40.692436),NE,PATCHEN AV,LAFAYETTE AV,Y,-73.927884,40.692436
BR02233,POINT (-73.955757 40.610388),SW,E 18 ST,AV P,Y,-73.955757,40.610388
BR02234,POINT (-73.895992 40.652148),NE,E 108 ST,FARRAGUT RD,Y,-73.895992,40.652148
BR02235,POINT (-73.894349 40.650683),NE,E 108 ST,GLENWOOD RD,Y,-73.894349,40.650683
BR02236,POINT (-73.897333 40.653357),SE,E 108 ST,STANLEY AV,Y,-73.897333,40.653357
BR02237,POINT (-73.942503 40.665219),NE,KINGSTON AV,MONTGOMERY ST,Y,-73.942503,40.665219
BR02238,POINT (-73.986715 40.605906),SE,KINGS HWY,STILLWELL AV,Y,-73.986715,40.605906
BR02239,POINT (-73.979321 40.615713),NE,BAY PKWY,62 ST,Y,-73.979321,40.615713
BR02241,POINT (-73.985113 40.576662),NW,MERMAID AV,W 17 ST,Y,-73.985113,40.576662
BR02242,POINT (-73.99373200000001 40.593323),NE,CROPSEY AV,BAY 38 ST,Y,-73.993732,40.593323
BR02243,POINT (-73.987047 40.621797),SE,60 ST,18 AV,Y,-73.987047,40.621797
BR02244,POINT (-73.952673 40.577013),NE,ORIENTAL BLVD,WEST END AV,Y,-73.952673,40.577013
BR02245,POINT (-73.9665 40.605899),NE,KINGS HWY,OCEAN PKWY,Y,-73.9665,40.605899
BR02246,POINT (-73.939647 40.578166),SW,ORIENTAL BLVD,MACKENZIE ST,Y,-73.939647,40.578166
BR02247,POINT (-73.961344 40.598441),NW,Coney Island Av,AV U,Y,-73.961344,40.598441
BR02248,POINT (-73.917811 40.685634),NW,SARATOGA AV,HALSEY ST,Y,-73.917811,40.685634
BR02249,POINT (-73.946947 40.65571),NE,CLARKSON AV,NEW YORK AV,Y,-73.946947,40.65571
BR02250,POINT (-73.893671 40.637222),NW,ROCKAWAY PKWY,AV M,Y,-73.893671,40.637222
BR02251,POINT (-73.891334 40.635428),SE,ROCKAWAY PKWY,AV N,Y,-73.891334,40.635428
BR02253,POINT (-73.927567 40.674942),NE,BERGEN ST,ROCHESTER AV,Y,-73.927567,40.674942
BR02254,POINT (-73.942344 40.666948),NE,KINGSTON AV,CARROLL ST,Y,-73.942344,40.666948
BR02255,POINT (-73.945791 40.664328),NW,EMPIRE BLVD,BROOKLYN AV,Y,-73.945791,40.664328
BR02256,POINT (-73.990731 40.643399),SW,39 ST,Ft Hamilton Pkwy,Y,-73.990731,40.643399
BR02257,POINT (-73.920933 40.652691),NW,RALPH AV,CHURCH AV,Y,-73.920933,40.652691
BR02258,POINT (-73.921221 40.652604),NW,CHURCH AV,RALPH AV,Y,-73.921221,40.652604
BR02259,POINT (-73.935376 40.601617),NW,AV U,GERRITSEN AV,Y,-73.935376,40.601617
BR02260,POINT (-73.931519 40.661104),SW,UTICA AV,MIDWOOD ST,Y,-73.931519,40.661104
BR02261,POINT (-73.939669 40.660371),NE,ALBANY AV,RUTLAND RD,Y,-73.939669,40.660371
BR02264,POINT (-73.986584 40.640896),NE,39 ST,13 AV,Y,-73.986584,40.640896
BR02265,POINT (-73.938439 40.662257),SW,East New York Av,ALBANY AV,Y,-73.938439,40.662257
BR02267,POINT (-73.919855 40.652542),SW,REMSEN AV,CHURCH AV,Y,-73.919855,40.652542
BR02268,POINT (-73.91731 40.6546),NE,CHURCH AV,LINDEN BLVD,Y,-73.91731,40.6546
BR02269,POINT (-73.98757 40.607791),SW,BAY PKWY,STILLWELL AV,Y,-73.98757,40.607791
BR02270,POINT (-73.987436 40.607649),SW,STILLWELL AV,BAY PKWY,Y,-73.987436,40.607649
BR02271,POINT (-73.998161 40.597025),NE,CROPSEY AV,BAY PKWY,Y,-73.998161,40.597025
BR02272,POINT (-73.987566 40.690437),NE,LIVINGSTON ST,SMITH ST,Y,-73.987566,40.690437
BR02273,POINT (-74.002376 40.573414),NE,SURF AV,W 37 ST,Y,-74.002376,40.573414
BR02274,POINT (-73.977428 40.630722),NW,18 AV,MCDONALD AV,Y,-73.977428,40.630722
BR02275,POINT (-74.012367 40.67768),SE,VAN BRUNT ST,SULLIVAN ST,Y,-74.012367,40.67768
BR02276,POINT (-73.882912 40.666209),SE,NEW LOTS AV,ASHFORD ST,Y,-73.882912,40.666209
BR02277,POINT (-73.926435 40.613486),NW,UTICA AV,FLATBUSH Av,Y,-73.926435,40.613486
