SHELTER_ID,the_geom,CORNER,LOCATION,AT_BETWEEN,IN_SERVICE,LONGITUDE,LATITUDE
BR0003,POINT (-73.947831 40.706812),SE,MONTROSE AV,LORIMER ST,Y,-73.947831,40.706812
BR0014,POINT (-73.945162 40.719097),NE,GRAHAM AV,HERBERT ST,Y,-73.945162,40.719097
BR0026,POINT (-73.945783 40.702976),NE,BROADWAY,LEONARD ST,Y,-73.945783,40.702976
BR0028,POINT (-73.940836 40.720195),SW,KINGSLAND AV,HERBERT ST,Y,-73.940836,40.720195
BR0040,POINT (-73.969795 40.69344),NE,VANDERBILT AV,MYRTLE AV,Y,-73.969795,40.69344
BR0049,POINT (-73.992056 40.689488),NW,Atlantic Av,COURT ST,Y,-73.992056,40.689488
BR0050,POINT (-73.992675 40.689883),SE,Atlantic Av,COURT ST,Y,-73.992675,40.689883
BR0055,POINT (-73.991491 40.696791),SW,Cadman Plz West,CLARK ST,Y,-73.991491,40.696791
BR0058,POINT (-73.987569 40.69025100000001),SE,LIVINGSTON ST,SMITH ST,Y,-73.987569,40.690251
BR0062,POINT (-73.969239 40.68965),NW,VANDERBILT AV,DEKALB AV,Y,-73.969239,40.68965
BR02076,POINT (-73.93588900000002 40.675394),NE,BERGEN ST,TROY AV,Y,-73.935889,40.675394
BR02077,POINT (-73.914073 40.656689),NW,CHURCH AV,E 98 ST,Y,-73.914073,40.656689
BR02078,POINT (-73.950978 40.638519),NE,FOSTER AV,ROGERS AV,Y,-73.950978,40.638519
BR02079,POINT (-73.92372 40.65631),NE,REMSEN AV,LENOX RD,Y,-73.92372,40.65631
BR02080,POINT (-73.908771 40.662315),SE,ROCKAWAY AV,LIVONIA AV,Y,-73.908771,40.662315
BR02081,POINT (-73.917328 40.668408),SW,SARATOGA AV,PITKIN AV,Y,-73.917328,40.668408
BR02082,POINT (-73.903579 40.677807),SW,FULTON ST,VAN SINDEREN AV,Y,-73.903579,40.677807
BR02084,POINT (-73.913731 40.675194),NE,Thomas Boyland St,DEAN ST,Y,-73.913731,40.675194
BR02085,POINT (-73.907183 40.65615600000001),SE,ROCKAWAY AV,HEGEMAN AV,Y,-73.907183,40.656156
BR0085,POINT (-73.945377 40.69027),SW,TOMPKINS AV,LAFAYETTE AV,Y,-73.945377,40.69027
BR0097,POINT (-73.934949 40.6794),SE,TROY AV,FULTON ST,Y,-73.934949,40.6794
BR0113,POINT (-73.943295 40.696135),NE,MYRTLE AV,THROOP AV,Y,-73.943295,40.696135
BR0131,POINT (-73.952319 40.695092),NE,MYRTLE AV,NOSTRAND AV,Y,-73.952319,40.695092
BR0140,POINT (-73.923621 40.699429),SW,WILSON AV,DEKALB AV,Y,-73.923621,40.699429
BR0143,POINT (-73.909371 40.691476),SE,WILSON AV,HALSEY ST,Y,-73.909371,40.691476
BR0145,POINT (-73.927549 40.692969),SE,KOSSUTH PL,BROADWAY,Y,-73.927549,40.692969
BR0155,POINT (-73.911115 40.699353),SW,PALMETTO ST,WYCKOFF AV,Y,-73.911115,40.699353
BR0157,POINT (-73.942323 40.70086700000001),SE,BROADWAY,FLUSHING AV,Y,-73.942323,40.700867
BR0175,POINT (-73.87189 40.68174),NW,Atlantic Av,CRESCENT ST,Y,-73.87189,40.68174
BR02000,POINT (-73.94498 40.686923),NW,GATES AV,TOMPKINS AV,Y,-73.94498,40.686923
BR02001,POINT (-74.018179 40.640598),SE,60 ST,4 AV,Y,-74.018179,40.640598
BR02003,POINT (-74.009731 40.635695),NW,60 ST,8 AV,Y,-74.009731,40.635695
BR02005,POINT (-73.993389 40.602183),NE,BAY PKWY,86 ST,Y,-73.993389,40.602183
BR02010,POINT (-73.995744 40.613347),NE,BAY RIDGE PKWY,18 AV,Y,-73.995744,40.613347
BR02011,POINT (-73.999659 40.615498),SE,BAY RIDGE PKWY,NEW UTRECHT AV,Y,-73.999659,40.615498
BR02012,POINT (-74.013562 40.610846),SE,14 AV,BENSON AV,Y,-74.013562,40.610846
BR02014,POINT (-73.993747 40.602168),NW,BAY PKWY,86 ST,Y,-73.993747,40.602168
BR02015,POINT (-73.968762 40.580004),SW,NEPTUNE AV,OCEAN PKWY,Y,-73.968762,40.580004
BR02016,POINT (-73.959784 40.581814),SE,Coney Island Av,NEPTUNE AV,Y,-73.959784,40.581814
BR02019,POINT (-73.9608 40.591306),SW,Coney Island Av,AV X,Y,-73.9608,40.591306
BR02020,POINT (-73.94078 40.593947),NW,NOSTRAND AV,AV X,Y,-73.94078,40.593947
