,Zip,price,bedrooms,bathrooms,addr,lat,lng,club_count,bar_count,grocery_count,pharmacy_count,theater_count,art_count,wine_count,restaurant_count,subway_count,bus_count,parking_count
0,1040,8500.0,2,2,2 River Ter #3S,42.22736389999999,-72.628383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1085,18700.0,3,4,35 Union Sq W #2,42.1309342,-72.7416396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1105,8995.0,2,1,79-81 White St #6W,42.0951207,-72.5591838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1601,4300.0,2,2,455 Main St #11L,42.262762200000004,-71.8018178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1748,3000.0,1,3,35 Grove St #4A,42.225994799999995,-71.52084640000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1801,3400.0,3,1,154 Ridge St #4,42.4476552,-71.1755777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1803,2295.0,1,1,35 Bedford St #3,42.503992,-71.2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1803,3495.0,1,1,35 Bedford St #24,42.503992,-71.2032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1835,3850.0,1,1,6 Charles St #2B,42.7789981,-71.0821557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1854,3500.0,1,1,50 Pine St #8FL11,42.6340903,-71.32875190000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1945,3695.0,1,1,17 Cliff St #9CJ,42.4958152,-70.8539223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1952,10350.0,3,3,200 N End Ave #8A,42.851812,-70.817716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
